POS	VALUE	CHROM
0	-0.422335935	Chr1
0.05	-0.422335935	Chr1
0.1	-0.421469691	Chr1
0.15	-0.421214773	Chr1
0.2	-0.423932903	Chr1
0.25	-0.423857426	Chr1
0.3	-0.422777663	Chr1
0.35	-0.423435383	Chr1
0.4	-0.423397978	Chr1
0.45	-0.42347559	Chr1
0.5	-0.423199303	Chr1
0.55	-0.423114109	Chr1
0.6	-0.423039738	Chr1
0.65	-0.424174284	Chr1
0.7	-0.423127186	Chr1
0.75	-0.423394236	Chr1
0.8	-0.42343787	Chr1
0.85	-0.42333914	Chr1
0.9	-0.423216838	Chr1
0.95	-0.423216838	Chr1
1	-0.423120901	Chr1
1.05	-0.423065386	Chr1
1.1	-0.423400718	Chr1
1.15	-0.423526835	Chr1
1.2	-0.420335337	Chr1
1.25	-0.4201265	Chr1
1.3	-0.419269551	Chr1
1.35	-0.407901744	Chr1
1.4	-0.408332667	Chr1
1.45	-0.405369659	Chr1
1.5	-0.411546533	Chr1
1.55	-0.415834798	Chr1
1.6	-0.414590606	Chr1
1.65	-0.415489653	Chr1
1.7	-0.415586113	Chr1
1.75	-0.415246247	Chr1
1.8	-0.415610711	Chr1
1.85	-0.415711448	Chr1
1.9	-0.415049112	Chr1
1.95	-0.415726423	Chr1
2	-0.414908448	Chr1
2.05	-0.414738952	Chr1
2.1	-0.415352824	Chr1
2.15	-0.413978198	Chr1
2.2	-0.415829972	Chr1
2.25	-0.415766991	Chr1
2.3	-0.415997774	Chr1
2.35	-0.416984416	Chr1
2.4	-0.41686855	Chr1
2.45	-0.419418787	Chr1
2.5	-0.417462489	Chr1
2.55	-0.414936255	Chr1
2.6	-0.418039707	Chr1
2.65	-0.417856581	Chr1
2.7	-0.417601476	Chr1
2.75	-0.417333927	Chr1
2.8	-0.40876778	Chr1
2.85	-0.4103089	Chr1
2.9	-0.414617596	Chr1
2.95	-0.412530762	Chr1
3	-0.416233465	Chr1
3.05	-0.417437568	Chr1
3.1	-0.416018	Chr1
3.15	-0.419567675	Chr1
3.2	-0.419567675	Chr1
3.25	-0.419836308	Chr1
3.3	-0.419155634	Chr1
3.35	-0.418195356	Chr1
3.4	-0.418420913	Chr1
3.45	-0.417101889	Chr1
3.5	-0.418432545	Chr1
3.55	-0.421630729	Chr1
3.6	-0.415024161	Chr1
3.65	-0.414346037	Chr1
3.7	-0.415362741	Chr1
3.75	-0.416166893	Chr1
3.8	-0.42463487	Chr1
3.85	-0.41483	Chr1
3.9	-0.411975688	Chr1
3.95	-0.412230489	Chr1
4	-0.410755614	Chr1
4.05	-0.407950075	Chr1
4.1	-0.408043122	Chr1
4.15	-0.410400171	Chr1
4.2	-0.410400171	Chr1
4.25	-0.410400171	Chr1
4.3	-0.410631846	Chr1
4.35	-0.410892343	Chr1
4.4	-0.412933171	Chr1
4.45	-0.411364543	Chr1
4.5	-0.406874743	Chr1
4.55	-0.400702	Chr1
4.6	-0.406768579	Chr1
4.65	-0.403725833	Chr1
4.7	-0.400023412	Chr1
4.75	-0.409278263	Chr1
4.8	-0.40881435	Chr1
4.85	-0.433768071	Chr1
4.9	-0.433768071	Chr1
4.95	-0.433768071	Chr1
5	-0.433768071	Chr1
5.05	-0.436394143	Chr1
5.1	-0.4022687	Chr1
5.15	-0.403380844	Chr1
5.2	-0.406308697	Chr1
5.25	-0.406549714	Chr1
5.3	-0.406195676	Chr1
5.35	-0.418263896	Chr1
5.4	-0.419169457	Chr1
5.45	-0.421178479	Chr1
5.5	-0.422266278	Chr1
5.55	-0.421472397	Chr1
5.6	-0.421562051	Chr1
5.65	-0.421979557	Chr1
5.7	-0.42206195	Chr1
5.75	-0.420024416	Chr1
5.8	-0.419911481	Chr1
5.85	-0.419969975	Chr1
5.9	-0.424631762	Chr1
5.95	-0.422642754	Chr1
6	-0.432424739	Chr1
6.05	-0.432678926	Chr1
6.1	-0.433469487	Chr1
6.15	-0.432103346	Chr1
6.2	-0.431356073	Chr1
6.25	-0.431369792	Chr1
6.3	-0.431453557	Chr1
6.35	-0.431391351	Chr1
6.4	-0.431262	Chr1
6.45	-0.431134354	Chr1
6.5	-0.431058459	Chr1
6.55	-0.430423292	Chr1
6.6	-0.430102463	Chr1
6.65	-0.430068562	Chr1
6.7	-0.430070642	Chr1
6.75	-0.430072727	Chr1
6.8	-0.430221608	Chr1
6.85	-0.430142221	Chr1
6.9	-0.429817532	Chr1
6.95	-0.430306907	Chr1
7	-0.427089258	Chr1
7.05	-0.424390091	Chr1
7.1	-0.419652197	Chr1
7.15	-0.419546257	Chr1
7.2	-0.396394462	Chr1
7.25	-0.397493346	Chr1
7.3	-0.397493346	Chr1
7.35	-0.39589308	Chr1
7.4	-0.400301357	Chr1
7.45	-0.402922794	Chr1
7.5	-0.402997404	Chr1
7.55	-0.409688452	Chr1
7.6	-0.413161385	Chr1
7.65	-0.413161385	Chr1
7.7	-0.411860125	Chr1
7.75	-0.412654854	Chr1
7.8	-0.402168851	Chr1
7.85	-0.404241373	Chr1
7.9	-0.404612333	Chr1
7.95	-0.404662723	Chr1
8	-0.404160653	Chr1
8.05	-0.404952899	Chr1
8.1	-0.406824901	Chr1
8.15	-0.409302238	Chr1
8.2	-0.409204259	Chr1
8.25	-0.409108356	Chr1
8.3	-0.409108159	Chr1
8.35	-0.407686946	Chr1
8.4	-0.40661583	Chr1
8.45	-0.4061609	Chr1
8.5	-0.42974623	Chr1
8.55	-0.429798477	Chr1
8.6	-0.429688179	Chr1
8.65	-0.429348886	Chr1
8.7	-0.426150792	Chr1
8.75	-0.423610205	Chr1
8.8	-0.410477043	Chr1
8.85	-0.41821395	Chr1
8.9	-0.422182741	Chr1
8.95	-0.422784146	Chr1
9	-0.422477965	Chr1
9.05	-0.422449353	Chr1
9.1	-0.421277	Chr1
9.15	-0.419401463	Chr1
9.2	-0.41876964	Chr1
9.25	-0.418787986	Chr1
9.3	-0.418824432	Chr1
9.35	-0.419000186	Chr1
9.4	-0.418856019	Chr1
9.45	-0.418916168	Chr1
9.5	-0.415984355	Chr1
9.55	-0.416155664	Chr1
9.6	-0.416163523	Chr1
9.65	-0.416332883	Chr1
9.7	-0.41687663	Chr1
9.75	-0.417276619	Chr1
9.8	-0.421594163	Chr1
9.85	-0.419426792	Chr1
9.9	-0.414038594	Chr1
9.95	-0.401111738	Chr1
10	-0.409565129	Chr1
10.05	-0.418255099	Chr1
10.1	-0.419941167	Chr1
10.15	-0.425291388	Chr1
10.2	-0.425523472	Chr1
10.25	-0.425848885	Chr1
10.3	-0.425869052	Chr1
10.35	-0.422733955	Chr1
10.4	-0.422155763	Chr1
10.45	-0.422025518	Chr1
10.5	-0.421553707	Chr1
10.55	-0.421020202	Chr1
10.6	-0.421225233	Chr1
10.65	-0.428791912	Chr1
10.7	-0.42896884	Chr1
10.75	-0.429584873	Chr1
10.8	-0.429694736	Chr1
10.85	-0.428444693	Chr1
10.9	-0.426993687	Chr1
10.95	-0.427961673	Chr1
11	-0.426864566	Chr1
11.05	-0.4234327	Chr1
11.1	-0.424401502	Chr1
11.15	-0.424378338	Chr1
11.2	-0.425905431	Chr1
11.25	-0.430008786	Chr1
11.3	-0.4295482	Chr1
11.35	-0.430902675	Chr1
11.4	-0.432185177	Chr1
11.45	-0.431805523	Chr1
11.5	-0.431844507	Chr1
11.55	-0.431946155	Chr1
11.6	-0.432095961	Chr1
11.65	-0.430245663	Chr1
11.7	-0.430248646	Chr1
11.75	-0.430000952	Chr1
11.8	-0.429454697	Chr1
11.85	-0.430207823	Chr1
11.9	-0.431600969	Chr1
11.95	-0.433059085	Chr1
12	-0.431188785	Chr1
12.05	-0.430285676	Chr1
12.1	-0.43021588	Chr1
12.15	-0.42986311	Chr1
12.2	-0.4300781	Chr1
12.25	-0.423738983	Chr1
12.3	-0.421949369	Chr1
12.35	-0.417074746	Chr1
12.4	-0.412776397	Chr1
12.45	-0.412975854	Chr1
12.5	-0.412517443	Chr1
12.55	-0.410340094	Chr1
12.6	-0.408575603	Chr1
12.65	-0.409898332	Chr1
12.7	-0.411856709	Chr1
12.75	-0.41115108	Chr1
12.8	-0.411892166	Chr1
12.85	-0.412577289	Chr1
12.9	-0.412577289	Chr1
12.95	-0.410776178	Chr1
13	-0.406888857	Chr1
13.05	-0.408155262	Chr1
13.1	-0.40839502	Chr1
13.15	-0.409063285	Chr1
13.2	-0.407657937	Chr1
13.25	-0.410793279	Chr1
13.3	-0.410412316	Chr1
13.35	-0.411541547	Chr1
13.4	-0.41175749	Chr1
13.45	-0.41157576	Chr1
13.5	-0.41157576	Chr1
13.55	-0.410745079	Chr1
13.6	-0.410604658	Chr1
13.65	-0.406691004	Chr1
13.7	-0.402020167	Chr1
13.75	-0.401039013	Chr1
13.8	-0.401100516	Chr1
13.85	-0.400750142	Chr1
13.9	-0.398333676	Chr1
13.95	-0.396214695	Chr1
14	-0.395033219	Chr1
14.05	-0.393632196	Chr1
14.1	-0.393570946	Chr1
14.15	-0.392602798	Chr1
14.2	-0.388857345	Chr1
14.25	-0.389529696	Chr1
14.3	-0.389201487	Chr1
14.35	-0.387439396	Chr1
14.4	-0.386089609	Chr1
14.45	-0.386458514	Chr1
14.5	-0.386458514	Chr1
14.55	-0.387353191	Chr1
14.6	-0.385772535	Chr1
14.65	-0.386955611	Chr1
14.7	-0.387091413	Chr1
14.75	-0.38853975	Chr1
14.8	-0.386516703	Chr1
14.85	-0.383420323	Chr1
14.9	-0.385686398	Chr1
14.95	-0.387461586	Chr1
15	-0.390109344	Chr1
15.05	-0.390127852	Chr1
15.1	-0.387971718	Chr1
15.15	-0.387971718	Chr1
15.2	-0.392847778	Chr1
15.25	-0.3921986	Chr1
15.3	-0.391671057	Chr1
15.35	-0.389783796	Chr1
15.4	-0.391433333	Chr1
15.45	-0.385529881	Chr1
15.5	-0.386502622	Chr1
15.55	-0.390947828	Chr1
15.6	-0.39356592	Chr1
15.65	-0.3885832	Chr1
15.7	-0.389119763	Chr1
15.75	-0.3893765	Chr1
15.8	-0.387803143	Chr1
15.85	-0.38846875	Chr1
15.9	-0.389320559	Chr1
15.95	-0.389320559	Chr1
16	-0.388131152	Chr1
16.05	-0.388121343	Chr1
16.1	-0.386669029	Chr1
16.15	-0.386669029	Chr1
16.2	-0.390221741	Chr1
16.25	-0.391494	Chr1
16.3	-0.390967186	Chr1
16.35	-0.390967186	Chr1
16.4	-0.39145507	Chr1
16.45	-0.390931568	Chr1
16.5	-0.394071395	Chr1
16.55	-0.396818556	Chr1
16.6	-0.396553261	Chr1
16.65	-0.402229147	Chr1
16.7	-0.406204892	Chr1
16.75	-0.406351211	Chr1
16.8	-0.406351211	Chr1
16.85	-0.406204892	Chr1
16.9	-0.40500122	Chr1
16.95	-0.40500122	Chr1
17	-0.40500122	Chr1
17.05	-0.405875154	Chr1
17.1	-0.405475737	Chr1
17.15	-0.405795683	Chr1
17.2	-0.407585688	Chr1
17.25	-0.403234639	Chr1
17.3	-0.408943918	Chr1
17.35	-0.408771431	Chr1
17.4	-0.407992684	Chr1
17.45	-0.406528017	Chr1
17.5	-0.404181804	Chr1
17.55	-0.400559667	Chr1
17.6	-0.400886013	Chr1
17.65	-0.40076696	Chr1
17.7	-0.400251329	Chr1
17.75	-0.401035643	Chr1
17.8	-0.404124192	Chr1
17.85	-0.404124192	Chr1
17.9	-0.406293085	Chr1
17.95	-0.407060375	Chr1
18	-0.406752041	Chr1
18.05	-0.405544429	Chr1
18.1	-0.405544429	Chr1
18.15	-0.405369946	Chr1
18.2	-0.404417818	Chr1
18.25	-0.410340296	Chr1
18.3	-0.4064886	Chr1
18.35	-0.40719778	Chr1
18.4	-0.408304115	Chr1
18.45	-0.41080702	Chr1
18.5	-0.402328632	Chr1
18.55	-0.405921472	Chr1
18.6	-0.405830914	Chr1
18.65	-0.405612703	Chr1
18.7	-0.402990833	Chr1
18.75	-0.401171514	Chr1
18.8	-0.3941385	Chr1
18.85	-0.397346424	Chr1
18.9	-0.3946475	Chr1
18.95	-0.3950964	Chr1
19	-0.395953605	Chr1
19.05	-0.397684771	Chr1
19.1	-0.397684771	Chr1
19.15	-0.397684771	Chr1
19.2	-0.396405154	Chr1
19.25	-0.393678974	Chr1
19.3	-0.396167036	Chr1
19.35	-0.401663207	Chr1
19.4	-0.401663207	Chr1
19.45	-0.420982596	Chr1
19.5	-0.428821744	Chr1
19.55	-0.42929163	Chr1
19.6	-0.426589609	Chr1
19.65	-0.434169508	Chr1
19.7	-0.436977336	Chr1
19.75	-0.436819787	Chr1
19.8	-0.436289738	Chr1
19.85	-0.436105604	Chr1
19.9	-0.434955028	Chr1
19.95	-0.435073197	Chr1
20	-0.435214986	Chr1
20.05	-0.434630356	Chr1
20.1	-0.434626033	Chr1
20.15	-0.434131537	Chr1
20.2	-0.434456068	Chr1
20.25	-0.434697896	Chr1
20.3	-0.434693272	Chr1
20.35	-0.43443874	Chr1
20.4	-0.434604585	Chr1
20.45	-0.434018419	Chr1
20.5	-0.434288641	Chr1
20.55	-0.434388688	Chr1
20.6	-0.435163995	Chr1
20.65	-0.432481515	Chr1
20.7	-0.429306696	Chr1
20.75	-0.429185683	Chr1
20.8	-0.429778075	Chr1
20.85	-0.429699347	Chr1
